SPEED,RPM,FUEL
0.0,693.5,63.92156862745098
0.0,691.0,63.92156862745098
0.0,696.25,63.92156862745098
0.0,697.0,63.92156862745098
0.0,692.25,63.92156862745098
0.0,686.75,63.92156862745098
0.0,696.25,63.92156862745098
0.0,701.25,63.92156862745098
0.0,701.0,63.92156862745098
0.0,695.5,63.92156862745098
0.0,698.25,63.92156862745098
0.0,681.75,63.92156862745098
0.0,689.25,63.92156862745098
0.0,697.25,63.92156862745098
0.0,700.25,63.92156862745098
0.0,690.5,63.92156862745098
0.0,685.0,63.92156862745098
0.0,685.25,63.92156862745098
0.0,703.25,63.92156862745098
0.0,690.75,63.92156862745098
0.0,686.25,63.92156862745098
0.0,699.75,63.92156862745098
0.0,702.25,63.92156862745098
0.0,703.5,63.92156862745098
0.0,698.5,63.92156862745098
0.0,698.75,63.92156862745098
0.0,697.5,63.92156862745098
0.0,697.25,63.529411764705884
0.0,703.25,63.529411764705884
0.0,710.0,63.529411764705884
0.0,691.75,63.529411764705884
0.0,711.75,63.529411764705884
0.0,704.75,63.529411764705884
0.0,707.75,63.529411764705884
0.0,704.0,63.529411764705884
0.0,712.0,63.529411764705884
0.0,591.25,63.529411764705884
0.0,680.0,63.529411764705884
0.0,659.75,63.529411764705884
2.0,650.25,63.529411764705884
2.0,657.75,63.529411764705884
4.0,673.5,63.529411764705884
2.0,642.5,63.529411764705884
4.0,699.75,63.529411764705884
4.0,701.25,63.92156862745098
0.0,774.25,63.92156862745098
0.0,757.75,63.92156862745098
0.0,793.5,63.92156862745098
5.0,958.0,63.92156862745098
5.0,746.25,63.92156862745098
7.0,1009.75,63.92156862745098
12.0,1343.75,65.09803921568627
18.0,1567.5,65.09803921568627
21.0,1300.25,65.09803921568627
21.0,1104.25,65.09803921568627
15.0,837.75,65.09803921568627
7.0,622.0,65.09803921568627
3.0,615.0,65.09803921568627
4.0,920.75,74.50980392156863
13.0,1528.25,74.50980392156863
20.0,1555.75,74.50980392156863
26.0,1546.25,74.50980392156863
30.0,1743.25,74.50980392156863
33.0,1327.25,74.50980392156863
34.0,1077.5,74.50980392156863
35.0,1116.0,65.09803921568627
34.0,1044.0,65.09803921568627
31.0,957.75,65.09803921568627
29.0,919.25,65.09803921568627
25.0,868.5,65.09803921568627
20.0,732.5,65.09803921568627
14.0,819.25,65.09803921568627
9.0,630.75,65.09803921568627
6.0,693.25,65.09803921568627
5.0,676.25,78.82352941176471
8.0,1338.0,78.82352941176471
13.0,1527.0,78.82352941176471
18.0,1747.0,78.82352941176471
24.0,1441.0,78.82352941176471
25.0,1392.75,78.82352941176471
26.0,1511.75,78.82352941176471
28.0,1588.5,78.82352941176471
28.0,1220.5,78.82352941176471
26.0,1003.75,65.49019607843137
26.0,1303.5,65.49019607843137
25.0,1227.75,65.49019607843137
21.0,1057.25,65.49019607843137
16.0,857.75,65.49019607843137
12.0,702.0,65.49019607843137
11.0,672.25,65.49019607843137
11.0,705.0,65.49019607843137
11.0,712.25,65.49019607843137
12.0,1006.75,65.49019607843137
16.0,1497.5,78.43137254901961
22.0,1660.75,78.43137254901961
27.0,1661.5,78.43137254901961
29.0,1654.25,78.43137254901961
30.0,1694.5,78.43137254901961
32.0,1485.0,78.43137254901961
33.0,1181.5,78.43137254901961
33.0,1119.25,78.43137254901961
31.0,964.5,78.43137254901961
28.0,917.5,72.54901960784314
22.0,776.25,72.54901960784314
15.0,883.0,72.54901960784314
10.0,645.5,72.54901960784314
7.0,681.25,72.54901960784314
4.0,602.75,72.54901960784314
0.0,624.5,72.54901960784314
0.0,681.75,72.54901960784314
0.0,689.25,72.54901960784314
0.0,686.0,82.3529411764706
0.0,695.5,82.3529411764706
0.0,693.0,82.3529411764706
0.0,689.5,82.3529411764706
0.0,690.5,82.3529411764706
0.0,691.0,82.3529411764706
3.0,1011.0,82.3529411764706
16.0,2034.5,82.3529411764706
28.0,2941.75,82.3529411764706
36.0,2294.5,67.05882352941177
41.0,1833.5,67.05882352941177
38.0,1259.5,67.05882352941177
30.0,1006.0,67.05882352941177
25.0,848.5,67.05882352941177
21.0,731.0,67.05882352941177
21.0,1275.25,67.05882352941177
25.0,1988.0,67.05882352941177
30.0,2223.75,67.05882352941177
34.0,2275.0,73.72549019607843
37.0,2221.75,73.72549019607843
37.0,1534.75,73.72549019607843
39.0,1615.25,73.72549019607843
41.0,1664.5,73.72549019607843
43.0,1751.0,73.72549019607843
46.0,1772.75,73.72549019607843
49.0,1853.0,73.72549019607843
52.0,1917.75,73.72549019607843
54.0,1947.25,56.86274509803921
54.0,1933.0,56.86274509803921
54.0,1973.25,56.86274509803921
53.0,1914.0,56.86274509803921
53.0,1898.0,56.86274509803921
52.0,1649.25,56.86274509803921
51.0,1216.5,56.86274509803921
50.0,1323.5,56.86274509803921
47.0,1399.5,56.86274509803921
43.0,1248.25,68.62745098039215
37.0,943.5,68.62745098039215
32.0,1067.25,68.62745098039215
29.0,1663.5,68.62745098039215
30.0,1765.25,68.62745098039215
30.0,1865.5,68.62745098039215
31.0,1914.5,68.62745098039215
33.0,1968.25,68.62745098039215
34.0,1936.0,68.62745098039215
33.0,1835.0,63.529411764705884
31.0,1913.0,63.529411764705884
31.0,1932.75,63.529411764705884
31.0,2026.0,63.529411764705884
33.0,2146.0,63.529411764705884
36.0,2204.5,63.529411764705884
39.0,2200.25,63.529411764705884
40.0,2173.25,63.529411764705884
41.0,2091.5,63.529411764705884
42.0,2038.0,65.88235294117646
41.0,1871.5,65.88235294117646
39.0,1540.25,65.88235294117646
33.0,1154.5,65.88235294117646
27.0,969.75,65.88235294117646
24.0,1819.5,65.88235294117646
27.0,2080.5,65.88235294117646
30.0,2133.75,65.88235294117646
34.0,2121.0,65.88235294117646
36.0,2101.75,64.31372549019608
38.0,2161.5,64.31372549019608
40.0,2185.0,64.31372549019608
42.0,2191.25,64.31372549019608
43.0,2098.75,64.31372549019608
42.0,2010.5,64.31372549019608
42.0,2057.25,64.31372549019608
42.0,2085.5,64.31372549019608
43.0,2085.75,64.31372549019608
43.0,2065.25,64.31372549019608
43.0,2069.25,59.21568627450981
41.0,1290.25,59.21568627450981
35.0,1244.75,59.21568627450981
28.0,979.75,59.21568627450981
20.0,782.0,59.21568627450981
8.0,631.75,59.21568627450981
0.0,621.5,59.21568627450981
0.0,659.0,59.21568627450981
0.0,643.25,59.21568627450981
0.0,651.75,66.66666666666667
0.0,650.75,66.66666666666667
0.0,651.5,66.66666666666667
0.0,653.25,66.66666666666667
0.0,673.0,66.66666666666667
0.0,660.25,66.66666666666667
0.0,666.75,66.66666666666667
0.0,664.25,66.66666666666667
0.0,673.0,66.66666666666667
0.0,661.5,59.21568627450981
0.0,671.75,59.21568627450981
0.0,676.75,59.21568627450981
0.0,683.5,59.21568627450981
0.0,681.0,59.21568627450981
0.0,680.25,59.21568627450981
0.0,686.25,59.21568627450981
0.0,679.25,59.21568627450981
0.0,679.5,59.21568627450981
0.0,688.75,59.6078431372549
0.0,684.75,59.6078431372549
0.0,686.25,59.6078431372549
0.0,677.25,59.6078431372549
0.0,687.25,59.6078431372549
0.0,679.25,59.6078431372549
0.0,684.5,59.6078431372549
0.0,684.25,59.6078431372549
0.0,683.75,59.6078431372549
0.0,675.75,59.6078431372549
0.0,683.5,60.0
0.0,682.0,60.0
0.0,687.5,60.0
0.0,686.0,60.0
0.0,676.0,60.0
0.0,684.75,60.0
0.0,677.5,60.0
0.0,689.25,60.0
0.0,680.25,60.0
0.0,716.25,60.0
9.0,1911.0,60.0
19.0,2414.75,60.0
26.0,2827.0,60.0
29.0,1965.25,60.0
31.0,1724.75,60.0
30.0,1708.5,60.0
33.0,2182.75,60.0
37.0,2510.5,60.0
41.0,2637.0,50.588235294117645
44.0,2753.75,50.588235294117645
46.0,2820.25,50.588235294117645
47.0,2842.5,50.588235294117645
48.0,2849.75,50.588235294117645
49.0,2855.5,50.588235294117645
49.0,2881.75,50.588235294117645
49.0,2871.75,50.588235294117645
49.0,2912.0,50.588235294117645
50.0,2917.75,54.11764705882353
51.0,2949.75,54.11764705882353
51.0,2962.25,54.11764705882353
51.0,2976.5,54.11764705882353
51.0,2956.5,54.11764705882353
50.0,2815.75,54.11764705882353
47.0,1908.5,54.11764705882353
44.0,1793.0,54.11764705882353
44.0,1787.5,54.11764705882353
48.0,1885.25,59.21568627450981
52.0,1577.0,59.21568627450981
51.0,1535.0,59.21568627450981
50.0,1456.75,59.21568627450981
48.0,1392.5,59.21568627450981
49.0,1871.5,59.21568627450981
52.0,2018.75,59.21568627450981
54.0,2049.75,59.21568627450981
56.0,2054.5,59.21568627450981
56.0,1663.25,79.6078431372549
56.0,1328.75,79.6078431372549
55.0,1301.5,79.6078431372549
55.0,1267.5,79.6078431372549
55.0,1259.75,79.6078431372549
55.0,1261.5,79.6078431372549
53.0,1193.0,79.6078431372549
51.0,1149.25,79.6078431372549
